word,type_name
adjudicator,noun
adjunct,noun
adjunctive,adjective
adjuncts,noun
adjuration,noun
adjuratory,adjective
adjure,verb
adjured,verb
adjures,verb
adjuring,verb
adjust,verb
adjustabilities,verb
adjustable,adjective
adjustable wrench,noun
adjusted,verb
adjuster,noun
adjusting,verb
adjusting entry,noun
adjustive,adjective
adjustment,noun
adjustments,noun
adjusts,verb
Adjutant,noun
Adjutant,noun
adjutant bird,noun
adjutants,noun
adjuvant,noun
Adlumia,noun
admass,noun
admin,noun
administer,verb
administered,verb
administering,verb
administers,verb
administrable,adjective
administrate,verb
administrated,verb
administrating,verb
administration,noun
administrations,noun
administrative,adjective
administrative data processing,noun
administrative district,noun
administrative hearing,noun
administrative law,noun
administrative unit,noun
administratively,adverb
administrator,noun
administrators,noun
administrivia,noun
admirability,noun
admirable,adjective
admirably,adverb
admiral,noun
admirals,noun
admiralty,noun
Admiralty Island,noun
Admiralty Islands,noun
Admiralty Range,noun
admiration,noun
admire,verb
admired,verb
admirer,noun
admirers,noun
admires,verb
admiring,verb
admiringly,adverb
admissibility,noun
admissible,adjective
admission,noun
Admission Day,noun
admissive,adjective
Admit,verb
Admit,verb
admits,verb
admittable,adjective
admittance,noun
admitted,verb
admittedly,adverb
admitting,verb
admix,verb
admixed,verb
admixes,verb
admixing,verb
admixture,noun
admixtures,noun
admonish,verb
admonished,verb
admonisher,noun
admonishers,verb
admonishes,verb
admonishing,verb
admonishing,adjective
admonishingly,adverb
admonishments,noun
admonishments,verb
admonition,noun
admonitions,noun
admonitory,adjective
adnate,adjective
adnexa,noun
adnexal,adjective
ado,noun
adobe,noun
adobe lily,noun
adobo,noun
adolesce,verb
adolescence,noun
adolescent,noun
Adonic,noun
Adonis,noun
Adonis,noun
adopt,verb
adoptable,adjective
adopted,verb
adopted,adjective
adoptee,noun
adopter,noun
adopters,verb
adopting,verb
adoption,noun
adoptive,adjective
adoptive parent,noun
adopts,verb
adorability,noun
adorable,adjective
adorable,adjective
adorably,adverb
adoration,noun
adore,verb
adored,verb
adores,verb
adoring,verb
adoringly,adverb
adorn,verb
adorned,verb
adorning,verb
adornment,noun
adornments,noun
adorns,verb
adoxography,noun
adrenal,adjective
adrenal cortex,noun
adrenal gland,noun
adrenal medulla,noun
adrenalectomy,noun
adrenaline,noun
adrenarche,noun
adrenergic,noun
adrenergic agonist eyedrop,noun
adrenocortical,adjective
adrenocorticotropic,adjective
adrenocorticotropic hormone,noun
adrenosterone,noun
Adrian,noun
Adriatic,noun
Adriatic,noun
adrift,adjective
adriftp,adjective
adroit,adjective
adroitly,adverb
adroitness,noun
ads,noun
adscititious,adjective
adscript,adjective
adsl,noun
adsorb,verb
adsorbabilities,verb
adsorbable,adjective
adsorbate,noun
adsorbed,verb
adsorbent,noun
adsorbing,verb
adsorbs,verb
adsorption,noun
adulate,verb
adulated,verb
adulates,verb
adulating,verb
adulation,noun
adulatory,adjective
adult,noun
adult body,noun
adult education,noun
adult female body,noun
adult intelligence,noun
adult male body,noun
adult respiratory distress syndrome,noun
adulterant,noun
adulterate,verb
adulterated,adjective
adulterated,verb
adulterates,verb
adulterating,verb
adulteration,noun
adulterator,noun
adulterer,noun
adulterers,noun
adulteress,noun
adulterine,adjective
adulterous,adjective
adulterously,adverb
adultery,noun
adulthood,noun
adults,noun
adumbrate,verb
adumbrated,verb
adumbrating,verb
adumbration,noun
adumbrative,adjective
adust,adjective
advance,noun
advance death benefit,noun
advancea,adjective
advanced,adjective
Advanced Research and Development Activity,noun
advanceda,adjective
advancement,noun
advancements,noun
advancer,noun
advances,noun
advancing,noun
advantage,noun
advantaged,adjective
advantageous,adjective
advantageously,adverb
advantages,noun
advantaging,noun
advect,verb
advection,noun
advective,adjective
